kind,address,name,type,notes
func,0x4941,gfx_fill_rect,"void (s16 x, s16 y, s16 w, s16 h, u8 colour)","Pixel rectangle fill, no clipping; RAM per-plane set/clear or EGA write mode 2; verified"
func,0x4B98,gfx_clear_screen,void (u8 colour),"Fills A000h (8000 bytes, all planes) regardless of target; verified"
func,0x4BD0,gfx_draw_text,"void (char *s, s16 x, s16 y)","Sets text cursor DS:6914/6916, falls into 0x4BE7; verified"
func,0x4BE7,gfx_draw_text_at_cursor,void (char *s),"Opaque 8×8 font text, fg DS:690E / bg DS:6910; verified"
func,0x4D78,gfx_set_border,void (u8 colour),INT 10h AH=0Bh; unreferenced; verified
func,0x4D84,gfx_set_palette,void (u16 ds_table),"INT 10h AX=1002h, ES:DX = DS:table (17 bytes); verified"
func,0x4D96,gfx_init_ega,void (void),"Reset GC, clear, equipment = colour, mode 0Dh, palette DS:637C; verified"
func,0x4DF1,blit_or_clip_hot,"void (u16 off, u16 seg, s16 x, s16 y)","Clipped OR blit at x−hot_x, y−hot_y; verified"
func,0x4E05,blit_or_clip_raw,"void (u16 off, u16 seg, s16 x, s16 y)","Clipped OR blit at x, y; verified"
func,0x4E19,blit_or_clip_own,"void (u16 off, u16 seg)","Clipped OR blit at header x&~3, y; verified"
func,0x50A1,gfx_set_clip,"void (u16 doff, u16 dseg, s16 x0, s16 x1, s16 y0, s16 y1)","Clip in byte columns / rows (x1, y1 exclusive); also updates the live copy; verified"
func,0x50FE,gfx_shutdown,void (void),"Clear screen, equipment = colour, INT 10h mode 3, AH=0Bh BX=20h; verified"
func,0x5128,gfx_select_target,"void (u16 doff, u16 dseg)","Copies 12-word descriptor to CS:5A64, pointer to CS:5A60; verified"
func,0x5150,gfx_create_buffer,"far desc (u16 w_bytes, u16 h, u16 plane_mask)",Off-screen planar buffer (= sprite); descriptor in CS:5290..5A5F; verified
func,0x5D84,blit_copy_clip_hot,"void (u16 off, u16 seg, s16 x, s16 y)",Clipped REPLACE blit at hotspot; verified
func,0x5DB6,blit_copy_clip_raw,"void (u16 off, u16 seg, s16 x, s16 y)","Clipped REPLACE blit at x, y; verified"
func,0x5DE2,blit_copy_clip_own,"void (u16 off, u16 seg)","Clipped REPLACE at own x&~3, y; body of all clipped blits (0x5E0E); verified"
func,0x6CBE,blit_copy_hot,"void (u16 off, u16 seg, s16 x, s16 y)",Unclipped REPLACE at hotspot; verified
func,0x6CF0,blit_copy_raw,"void (u16 off, u16 seg, s16 x, s16 y)","Unclipped REPLACE at x, y; verified"
func,0x6D1C,blit_copy_own,"void (u16 off, u16 seg)","Unclipped REPLACE at own x&~3, y; body of all unclipped blits (0x6D48); verified"
func,0x74E3,gfx_set_text_cursor,"void (s16 x, s16 y)",DS:6914/6916; verified
