kind,address,name,type,notes
func,0x1DC0,drive_stage,int(void),stage loop and frame composition (game_flow range)
func,0x1F4E,stage_init_road_ptr,void(void),road_ptr = stage_ptr[stage]+0x2D
func,0x1F7B,wait_fire_button,void(void),poll 0x5C24 bit 0x10; skipped in demo
func,0x1F93,reset_car_state,void(void),per-life reset
func,0x2013,snapshot_sim_state,void(void),copy ISR state to render copies
func,0x2054,project_road_main,void(void),39-row projection + span arrays
func,0x23F2,proj_x_main,AX=f(BX X;DX Z),600*X/Z clamp 3200 +480
func,0x2421,proj_y_main,AX=f(BX X;DX Z;CX Y),perspective y +70
func,0x2478,project_road_mirror,void(void),24-row mirror projection
func,0x282C,proj_x_mirror,AX=f(BX X;DX Z),150*X/Z clamp 800 +1120
func,0x285B,proj_y_mirror,AX=f(BX X;DX Z;CX Y),y sar2 clamp 0..17 +10
func,0x28C5,draw_road_main,void(void),road fill and deferred object list
func,0x2DEE,fill_road_scanlines_main,void(void),per-scanline spans
func,0x2E8B,fill_span_to,ZF=f(AX end;DX bytepos;DI;ES),set bits to end-1
func,0x2EDC,fill_scenery_above_road,void(void),colour 4/2 split above road
func,0x2F7A,draw_road_mirror,void(void),mirror objects
func,0x3306,fill_road_scanlines_mirror,void(void),mirror spans
func,0x339E,fill_span_to_mirror,ZF=f(AX end;DX;DI;ES),clamps x>=240
func,0x33FB,draw_mirror_background,void(void),clear + scenery split in mirror
func,0x349D,draw_buffer_overlays,void(void),mirr mask; tick; status text
func,0x351A,draw_gear_box,void(void),gear gate via RAM buffer
func,0x35C6,draw_dashboard_dynamic,void(void),radar; wheel XOR; marker; gauges
func,0x38CD,draw_digit,(BL digit;DX x),digital gauge digit
func,0x38EB,dealership_ending,void(void),stage 5 finish screens
func,0x392C,crash_windscreen_sequence,void(void),windscreen crack lines
func,0x39EB,sin_deg,AX=f(AX deg),15*sin table DS:22F2
func,0x3A18,atan_lookup,AX=f(AX ratio256),returns 45..90
func,0x3A37,interp_edge_span,(AX a;BX b;CL n;DL n;DI dst),span interpolation
func,0x3AC2,select_screen,void(void),target CS:5A7C
func,0x3ACE,select_road_buffer,void(void),target road buffer + default clip
func,0x3AF7,present_road_buffer,void(void),replace-blit buffer to VRAM
global,DS:0906,road_ptr,u16,car road stream pointer (sim)
global,DS:0910,car_lateral,s16,lateral position (sim)
global,DS:090C,car_heading,s16,heading deg*256 (sim)
global,DS:0912,road_subpos,s16,sub-unit counter (sim)
global,DS:0914,steer,s16,steering (sim)
global,DS:0927,speed_w,u16,speed; hi byte mph (sim)
global,DS:091B,rpm,u16,engine rpm (sim)
global,DS:0929,drive_state,u8,0 drive 1 quit 2 end of road 3 crash
global,DS:092A,road_end_ptr,u16,stream ptr where records become 0
global,DS:092C,proj_cx_main,s16,480 (1/4 px)
global,DS:092E,proj_horizon_main,s16,70
global,DS:0930,proj_cx_mirror,s16,1120 (1/4 px)
global,DS:0932,proj_y_mirror_off,s16,10
global,DS:0941,traffic_count_left,u8,sim
global,DS:0942,traffic_count_right,u8,sim
global,DS:0943,r_traffic_count_l,u8,snapshot
global,DS:0944,r_traffic_count_r,u8,snapshot
global,DS:0945,traffic_slots,13x8 bytes,sim slots
global,DS:09AD,r_traffic_slots,13x8 bytes,snapshot; 0-4 left 5-9 right 11 cop-ahead 12 hazard
global,DS:0A05,r_slot11_pos,u16,radar source position
global,DS:0A0D,r_hazard_slot,8 bytes,+0 pos +6 type/lane
global,DS:0A23,cop_state,u8,sim
global,DS:0A24,r_cop_state,u8,snapshot
global,DS:0A27,ticket_flag,u8,sim
global,DS:0A29,cop_lane,s16,sim
global,DS:0A2B,cop_sub,s16,sim
global,DS:0A2D,cop_pos,u16,sim
global,DS:0A30,r_cop_pos,u16,snapshot
global,DS:0A32,r_cop_lane,s16,snapshot
global,DS:0A34,r_cop_sub,s16,snapshot
global,DS:0A7D,knob_x,s16,gear knob x
global,DS:0A7F,knob_y,s16,gear knob y
global,DS:08BE,gearbox_visible,u8,shift gate shown
global,DS:08BF,gearbox_prev,u8,last value
