kind,address,name,type,notes
func,0x3AF7,scene_flip_page_3af7,void(void),"boundary helper (page select + show); see scene_render"
func,0x3B1F,sim_timer_isr,interrupt,"int 8 handler installed by 0x4792; chains old vector (0x6A1F sound ISR) then runs sim every 8th tick"
func,0x3B1C,sim_isr_exit_jmp,label,"jmp to 0x4673 (register restore + iret)"
func,0x3BB4,sim_input_charkey,label,"'d'/'D' toggles DS:08BE; 'o'/'O' toggles gate-shift mode DS:0921"
func,0x3BEA,sim_tick,label,"12.5 Hz simulation tick body: input, shifting, steering, engine, motion, traffic, police"
func,0x3CB8,sim_input_direction,label,"fire+direction shifting (gate graph or keyboard gear delta) / steer+throttle"
func,0x3D7D,sim_steering,label,"steering angle DS:0914 update"
func,0x3DDB,sim_shift_knob_anim,label,"gear knob animation, 6 px per tick, completes the shift"
func,0x3EAA,sim_engine,label,"idle decay, skid decel, brake, free-rev, torque/drag acceleration"
func,0x3FAD,sim_update_rpm,u16 DX(void),"rpm = ratio*speed>>16, idle floor 800, over-rev => crash state"
func,0x3FE8,sim_motion,label,"road advance: sub-unit counter, grip/skid, lateral drift, road edge, speed-limit signs"
func,0x40FE,sim_advance_unit,label,"one road unit advance (loops while sub-unit < 0)"
func,0x4241,sim_lookahead,label,"reads road byte 40 units ahead: 0xFF => stage end, object => 0x467D"
func,0x427F,sim_traffic_update,label,"grind timer; oncoming list, same-direction list, cop FSM, removal, radar trap, hazard expiry"
func,0x438A,sim_cop_fsm,label,"police car state machine dispatch via DS:0A36"
func,0x455F,sim_object_cleanup,label,"traffic removal, radar trap trigger/chase start, hazard expiry; iret at 0x4673"
func,0x467D,sim_spawn_object,label,"object code dispatch: police trap, oncoming, same-direction traffic, hazards"
func,0x4792,stage_enter_install_isr,void(void),"stage/cockpit sprite setup, PIT/sound init (0x698C), song 0xB05, hooks int 0 and int 8"
func,0x493D,car_data_ptr,u16(void),"returns 0x268F (address of car .BIN buffer)"
func,0x3A18,rpm_to_index_3a18,int(AX),"see scene_render (in its range)"
func,0x5C24,read_controls,u16(void),"platform: joystick/keyboard -> AX (see simulation.md input section)"
func,0x8BAF,rng_next,u8(void),"platform range: table RNG, rotates table byte"
func,0x1DC0,stage_drive_loop,int(void),"game_flow: per-frame loop, handles DS:0929 exits"
func,0x1F4E,stage_reset_position,void(void),"game_flow: road_pos = stage start + 45, clock 0"
func,0x1F93,car_reset_state,void(void),"game_flow: resets simulation globals (after crash / stage start)"
func,0x2013,sim_snapshot_for_render,void(void),"scene_render: copies DS:0945..09AC to DS:09AD.. and other state for the frame"
global,DS:0084,demo_mode,u16,"nonzero = attract/demo autopilot; 1 = hold lane"
