start,end,insns,n_callers,n_calls,ints,ports,strings
0010,023e,202,1,27,,,"herc | tdsnd.snd | sng1 | sng2 | sng4 | sng3 | xroada.cmp |  BACK TO DOS (Y or other key) ? "
023e,02ba,45,1,4,,,"CARS.TXT"
02ba,0375,64,1,5,,," Play again with the same car  |        Select a new car       "
0375,03ef,47,1,8,,,"ACCOLADE.CMP | TESTDRV.CMP"
03ef,0516,109,1,8,,,"acc  | pres | copy | bull"
0516,078d,217,1,11,,,"frm1frm2frm3frm4frm5 | rrm1rrm2rrm3rrm4rrm5 | car "
078d,0987,188,1,11,,,"tdrv | fob  | tmar | CTRL - (J)OYSTICK OR CTRL - (K)EYBOARD"
0987,0aad,103,1,9,,,""
0aad,0d3f,266,1,10,,,"%ssb.cmp | car  | stat | name"
0d3f,0fca,231,1,16,,,"%s.ss | Animation file open error | %d %d
"
0fca,0ffa,20,1,2,,,""
0ffa,11fd,192,1,19,,,"xroadb.cmp | %s.cmp | %s.bin"
11fd,127b,52,1,2,,,""
127b,1309,54,1,5,,,""
1309,1422,112,1,7,,,"SCORES | %20c%20c%ld | SCORE file open error"
1422,15ce,177,1,13,,,"       Select a new car        | llogo.cmp | You have qualified as one | of Test Drive's best drivers. | Enter your name:"
15ce,1677,72,1,6,,,"SCORES | %-20.20s%-20.20s%ld
 | SCORE file save error"
1677,180e,166,1,11,,,"TEST DRIVE'S BEST | slogo.cmp | %7ld  %-20.20s | %7ld  %-20.20s | CTRL - (J)OYSTICK OR CTRL - (K)EYBOARD | Your Score : %ld"
180e,1933,128,1,5,,,"herc |  Created by:  |  Design and Programming  |  Art:  |  Sound and Music:  | Distinctive Software Inc. | Vancouver B.C. | Don Mattrick | Mike Benna | Kevin P"
1933,1ad6,155,1,13,,,"gas.cmp | gcar | gas "
1ad6,1c9a,172,1,8,,,"you %2d minutes and %02d seconds. | you %2d minute and %02d seconds. | you %2d seconds. | That kind of time is worth | %ld points. | Press key or joystick butto"
1c9a,1cc0,16,1,1,,,""
1cc0,1d54,57,1,6,,,""
1d60,1ecc,132,1,27,0x21,,""
1ecc,1ef9,11,1,0,,,""
1ef9,1f11,10,3,1,,,""
1f11,1f91,39,1,0,,,""
1f91,1fd2,24,1,0,,,""
