start,end,insns,n_callers,n_calls,ints,ports,strings
0010,0243,204,1,27,,,"herc | tdsnd.snd | sng1 | sng2 | sng4 | sng3 |  BACK TO DOS (Y or other key) ?  | 94857102387604294775"
0243,02bf,45,1,4,,,"CARS.TXT"
02bf,037a,64,1,5,,," Play again with the same car  |        Select a new car       "
037a,03f4,47,1,8,,,"ACCOLADE.PES | TESTDRV.PES"
03f4,051b,109,1,8,,,"acc  | pres | copy | bull"
051b,0792,217,1,11,,,"frm1frm2frm3frm4frm5 | rrm1rrm2rrm3rrm4rrm5 | car "
0792,098c,188,1,11,,,"tdrv | fob  | tmar | CTRL - (J)OYSTICK OR CTRL - (K)EYBOARD"
098c,0ab2,103,1,9,,,""
0ab2,0d75,298,1,10,,,"%ssb.pes | car  | stat | name"
0d75,1000,231,1,16,,,"%s.ss | Animation file open error | %d %d
"
1000,1030,20,1,2,,,""
1030,125d,208,1,19,,,"xroada.pes | xroadb.pes | xroadc.pes | %s.pes | %s.bin"
125d,12db,52,1,2,,,""
12db,1369,54,1,5,,,""
1369,1482,112,1,7,,,"SCORES | %20c%20c%ld | SCORE file open error"
1482,162e,177,1,13,,,"       Select a new car        | llogo.pes | You have qualified as one | of Test Drive's best drivers. | Enter your name:"
162e,16d7,72,1,6,,,"SCORES | %-20.20s%-20.20s%ld
 | SCORE file save error"
16d7,186e,166,1,11,,,"TEST DRIVE'S BEST | slogo.pes | %7ld  %-20.20s | %7ld  %-20.20s | CTRL - (J)OYSTICK OR CTRL - (K)EYBOARD | Your Score : %ld"
186e,1993,128,1,5,,,"herc |  Created by:  |  Design and Programming  |  Art:  |  Sound and Music:  | Distinctive Software Inc. | Vancouver B.C. | Don Mattrick | Mike Benna | Kevin P"
1993,1b36,155,1,13,,,"gas.pes | gcar | gas "
1b36,1cfa,172,1,8,,,"you %2d minutes and %02d seconds. | you %2d minute and %02d seconds. | you %2d seconds. | That kind of time is worth | %ld points. | Press key or joystick butto"
1cfa,1d20,16,1,1,,,""
1d20,1db4,57,1,6,,,""
1dc0,1f4e,144,1,29,0x21,,""
1f4e,1f7b,11,1,0,,,""
1f7b,1f93,10,3,1,,,""
1f93,2013,39,1,0,,,""
2013,2054,24,1,0,,,""
2054,23f2,307,1,4,,," Play again with the same car "
23f2,2421,22,1,0,,,""
2421,2478,45,1,1,,,""
2478,282c,317,1,4,,,""
282c,285b,22,1,0,,,""
285b,28c5,53,1,1,,,""
28c5,2dee,484,2,4,,,""
2dee,2e8a,54,1,1,,,""
2e8b,2edc,37,1,0,,,""
2edc,2f7a,62,2,0,,,""
2f7a,3306,323,2,3,,,""
3306,339e,52,1,1,,,""
339e,33fb,41,1,0,,,""
33fb,349d,57,2,2,,,""
349d,351a,46,2,5,,," Pulling into the dealership... "
351a,35c6,57,1,6,,,""
35c6,38cd,295,1,14,,,""
38cd,38eb,12,1,1,,,""
38eb,392c,20,1,6,,,""
392c,39eb,90,1,10,,,""
39eb,3a18,20,2,0,,,""
3a18,3a37,15,2,0,,,""
3a37,3ac2,79,2,0,,,""
3ac2,3ace,6,4,1,,,""
3ace,3af7,10,4,1,,,""
3af7,3b18,13,2,2,,,""
4792,493d,155,1,4,0x21,,"0   1   2   3   4   5   6   7   8   9   spdotachtac1tac2tac3"
493d,4941,2,1,0,,,""
4941,4b98,264,4,0,,dx, al,""
4b98,4bd0,32,12,0,,dx, al,""
4bd0,4be6,10,6,0,,,""
4be7,4d78,162,0,0,,dx, al,""
4d84,4d96,10,1,0,0x10,,""
